word,level,pos,frequency
hello,A1,interjection,8.5
goodbye,A1,interjection,7.2
book,A1,noun,9.1
house,A1,noun,8.8
car,A1,noun,8.3
run,A1,verb,8.7
walk,A1,verb,8.4
big,A1,adjective,8.6
small,A1,adjective,8.2
happy,A1,adjective,8.0
computer,A2,noun,7.8
internet,A2,noun,7.5
technology,A2,noun,7.1
develop,A2,verb,7.3
improve,A2,verb,7.0
modern,A2,adjective,7.2
digital,A2,adjective,6.8
efficient,A2,adjective,6.5
business,B1,noun,6.9
management,B1,noun,6.6
strategy,B1,noun,6.3
implement,B1,verb,6.4
optimize,B1,verb,6.1
professional,B1,adjective,6.7
strategic,B1,adjective,6.2
innovative,B1,adjective,5.9
philosophy,B2,noun,5.8
democracy,B2,noun,5.5
sustainability,B2,noun,5.2
articulate,B2,verb,5.6
facilitate,B2,verb,5.3
comprehensive,B2,adjective,5.7
sophisticated,B2,adjective,5.4
authentic,B2,adjective,5.1
metaphysics,C1,noun,4.8
epistemology,C1,noun,4.5
consciousness,C1,noun,4.2
synthesize,C1,verb,4.6
elucidate,C1,verb,4.3
profound,C1,adjective,4.7
nuanced,C1,adjective,4.4
sophisticated,C1,adjective,4.1
existentialism,C2,noun,3.9
transcendentalism,C2,noun,3.6
consciousness,C2,noun,3.3
contemplate,C2,verb,3.8
philosophize,C2,verb,3.5
enlightened,C2,adjective,3.9
transcendent,C2,adjective,3.6
contemplative,C2,adjective,3.3
